playerid,region,champion,mastery,wins,losses,veteran,freshblood,hotstreak
Isotope2217#EUNE,eun1,Sylas,36337,11,10,False,False,True
Isotope2217#EUNE,eun1,Riven,134057,34,14,False,False,False
Arturi#EUNE,eun1,Bard,46045,34,14,False,False,False
Arturi#EUNE,eun1,Lux,39615,34,14,False,False,False
Arturi#EUNE,eun1,Yasuo,563846,16,14,False,False,False
yasuo has hoes#2393,eun1,Katarina,188854,16,14,False,False,False
yasuo has hoes#2393,eun1,Zed,63406,16,14,False,False,False
yasuo has hoes#2393,eun1,Master Yi,41640,16,14,False,False,False
yasuo has hoes#2393,eun1,Nami,570883,6,2,False,False,False
Anamei#1313,eun1,Leona,309629,6,2,False,False,False
Anamei#1313,eun1,Lulu,200509,6,2,False,False,False
Anamei#1313,eun1,Lux,128968,6,2,False,False,False
Anamei#1313,eun1,Seraphine,95914,6,2,False,False,False
Anamei#1313,eun1,Caitlyn,79211,6,2,False,False,False
Anamei#1313,eun1,Jhin,64248,6,2,False,False,False
Anamei#1313,eun1,Swain,53431,6,2,False,False,False
Anamei#1313,eun1,Yuumi,44830,6,2,False,False,False
Anamei#1313,eun1,Annie,39271,6,2,False,False,False
Anamei#1313,eun1,Vayne,38741,6,2,False,False,False
Anamei#1313,eun1,Nautilus,38124,6,2,False,False,False
Anamei#1313,eun1,Morgana,30483,6,2,False,False,False
Anamei#1313,eun1,Warwick,1031634,148,154,False,True,False
Christos#EUNE,eun1,Maokai,824999,148,154,False,True,False
Christos#EUNE,eun1,Graves,482820,148,154,False,True,False
Christos#EUNE,eun1,Braum,177528,148,154,False,True,False
Christos#EUNE,eun1,Malphite,176852,148,154,False,True,False
Christos#EUNE,eun1,Renekton,166355,148,154,False,True,False
Christos#EUNE,eun1,Shen,161735,148,154,False,True,False
Christos#EUNE,eun1,Thresh,140978,148,154,False,True,False
Christos#EUNE,eun1,Sivir,138238,148,154,False,True,False
Christos#EUNE,eun1,Nasus,99169,148,154,False,True,False
Christos#EUNE,eun1,Caitlyn,75291,148,154,False,True,False
Christos#EUNE,eun1,Nami,70278,148,154,False,True,False
