playerid,region,champion,mastery,wins,losses,veteran,freshblood,hotstreak
Isotope2217#EUNE,eun1,Sylas,36337,11,10,False,False,True
Isotope2217#EUNE,eun1,Miss Fortune,12714,11,10,False,False,True
Isotope2217#EUNE,eun1,Taric,9386,11,10,False,False,True
Arturi#EUNE,eun1,Riven,134057,34,14,False,False,False
Arturi#EUNE,eun1,Bard,46045,34,14,False,False,False
Arturi#EUNE,eun1,Lux,39615,34,14,False,False,False
yasuo has hoes#2393,eun1,Yasuo,563846,16,14,False,False,False
yasuo has hoes#2393,eun1,Katarina,188854,16,14,False,False,False
yasuo has hoes#2393,eun1,Zed,63406,16,14,False,False,False
Christos#EUNE,eun1,Warwick,1011141,123,127,False,False,False
Christos#EUNE,eun1,Maokai,802443,123,127,False,False,False
Christos#EUNE,eun1,Graves,480237,123,127,False,False,False
mumuland#4632,eun1,Morgana,219228,26,31,False,False,False
mumuland#4632,eun1,Heimerdinger,155151,26,31,False,False,False
mumuland#4632,eun1,Ahri,113308,26,31,False,False,False
Butcheroni#EUNE,eun1,Shaco,2215468,25,25,False,True,False
Butcheroni#EUNE,eun1,Nocturne,369905,25,25,False,True,False
Butcheroni#EUNE,eun1,Teemo,280389,25,25,False,True,False
Twiztdfate#EUNE,eun1,Twitch,100105,14,13,False,False,False
Twiztdfate#EUNE,eun1,Morgana,64827,14,13,False,False,False
Twiztdfate#EUNE,eun1,Maokai,53259,14,13,False,False,False
Evergreen#MvRk,eun1,Yasuo,67974,5,10,False,False,False
Evergreen#MvRk,eun1,Katarina,64362,5,10,False,False,False
Evergreen#MvRk,eun1,Vayne,62084,5,10,False,False,False
Moskalowy#EUNE,eun1,Illaoi,40433,28,41,False,False,False
Moskalowy#EUNE,eun1,Zilean,39506,28,41,False,False,False
Moskalowy#EUNE,eun1,Brand,31674,28,41,False,False,False
Kokos#EUNE,eun1,Vel'Koz,238466,21,23,False,False,False
Kokos#EUNE,eun1,Braum,211695,21,23,False,False,False
Kokos#EUNE,eun1,Bard,178035,21,23,False,False,False
Skotos#EUNE,eun1,Teemo,273923,9,11,False,True,False
Skotos#EUNE,eun1,Illaoi,259984,9,11,False,True,False
Skotos#EUNE,eun1,Brand,181294,9,11,False,True,False
TheHammy#EUNE,eun1,Blitzcrank,377988,12,8,False,False,False
TheHammy#EUNE,eun1,Alistar,340158,12,8,False,False,False
TheHammy#EUNE,eun1,Leona,337230,12,8,False,False,False
AbyPtTine#EUNE,eun1,Kai'Sa,952545,105,107,False,False,False
AbyPtTine#EUNE,eun1,Lux,375191,105,107,False,False,False
AbyPtTine#EUNE,eun1,Jhin,261376,105,107,False,False,False
1uck you#EUNE,eun1,Nocturne,384254,65,69,False,False,False
1uck you#EUNE,eun1,Evelynn,214516,65,69,False,False,False
1uck you#EUNE,eun1,Malphite,190803,65,69,False,False,False
Eve#74231,eun1,Lulu,742601,6,5,False,False,False
Eve#74231,eun1,Nami,220852,6,5,False,False,False
Eve#74231,eun1,Soraka,132850,6,5,False,False,False
Lil Diablo RIP#EUNE,eun1,Rammus,253715,33,43,False,False,False
Lil Diablo RIP#EUNE,eun1,Vi,181282,33,43,False,False,False
Lil Diablo RIP#EUNE,eun1,Malphite,180656,33,43,False,False,False
iSeeYourDeath#EUNE,eun1,Lulu,150996,5,1,False,False,False
iSeeYourDeath#EUNE,eun1,Zyra,128188,5,1,False,False,False
iSeeYourDeath#EUNE,eun1,Miss Fortune,88533,5,1,False,False,False
SoNizz#EUNE,eun1,Aphelios,113995,23,36,False,False,False
SoNizz#EUNE,eun1,Jhin,109354,23,36,False,False,False
SoNizz#EUNE,eun1,Ezreal,104394,23,36,False,False,False
Xposured#EUNE,eun1,LeBlanc,40323,14,22,False,True,True
Xposured#EUNE,eun1,Lux,35917,14,22,False,True,True
Xposured#EUNE,eun1,Orianna,33515,14,22,False,True,True
DaPrestigiouS#EUNE,eun1,LeBlanc,968669,7,7,False,False,False
DaPrestigiouS#EUNE,eun1,Morgana,570191,7,7,False,False,False
DaPrestigiouS#EUNE,eun1,Anivia,212287,7,7,False,False,False
Amartias#1313,eun1,Diana,604882,4,6,False,False,False
Amartias#1313,eun1,Zoe,193187,4,6,False,False,False
Amartias#1313,eun1,Samira,173015,4,6,False,False,False
Banek#1337,eun1,Malzahar,508333,2,10,False,False,False
Banek#1337,eun1,Malphite,177130,2,10,False,False,False
Banek#1337,eun1,Annie,47470,2,10,False,False,False
ASSOS EKATOSTARI#EUNE,eun1,Kassadin,310089,10,21,False,False,False
ASSOS EKATOSTARI#EUNE,eun1,Anivia,180347,10,21,False,False,False
ASSOS EKATOSTARI#EUNE,eun1,Nasus,146860,10,21,False,False,False
Sontrek#6969,eun1,Blitzcrank,127695,12,15,False,False,False
Sontrek#6969,eun1,Janna,103761,12,15,False,False,False
Sontrek#6969,eun1,Thresh,103593,12,15,False,False,False
One Jinx Pony#EUNE,eun1,Irelia,294299,37,32,False,False,False
One Jinx Pony#EUNE,eun1,Jinx,192519,37,32,False,False,False
One Jinx Pony#EUNE,eun1,Miss Fortune,65045,37,32,False,False,False
Bulka Lunker#EUNE,eun1,Miss Fortune,359893,40,24,False,False,False
Bulka Lunker#EUNE,eun1,Jinx,343753,40,24,False,False,False
